version;N;trial;reps;kernel_ms
vector;16384;10;3051;0,032210
scalar;16384;10;3051;0,129013
scalar;32768;1;1525;0,264962
vector;32768;1;1525;0,030702
vector;32768;2;1525;0,074609
scalar;32768;2;1525;0,213541
scalar;32768;3;1525;0,210216
vector;32768;3;1525;0,027502
vector;32768;4;1525;0,026882
scalar;32768;4;1525;0,155438
scalar;32768;5;1525;0,160720
vector;32768;5;1525;0,026938
vector;32768;6;1525;0,029724
scalar;32768;6;1525;0,283267
scalar;32768;7;1525;0,228948
vector;32768;7;1525;0,031148
vector;32768;8;1525;0,058496
scalar;32768;8;1525;0,281327
scalar;32768;9;1525;0,203828
vector;32768;9;1525;0,029392
vector;32768;10;1525;0,048774
scalar;32768;10;1525;0,195971
scalar;65536;1;762;0,328713
vector;65536;1;762;0,060664
vector;65536;2;762;0,171878
scalar;65536;2;762;0,483188
scalar;65536;3;762;0,427678
vector;65536;3;762;0,064630
vector;65536;4;762;0,137225
scalar;65536;4;762;0,437623
scalar;65536;5;762;0,316020
vector;65536;5;762;0,054349
vector;65536;6;762;0,061888
scalar;65536;6;762;0,355248
scalar;65536;7;762;0,435183
vector;65536;7;762;0,058012
vector;65536;8;762;0,140775
scalar;65536;8;762;0,428508
scalar;65536;9;762;0,332541
vector;65536;9;762;0,055838
vector;65536;10;762;0,057975
scalar;65536;10;762;0,305629
scalar;100000;1;500;0,474183
vector;100000;1;500;0,098277
vector;100000;2;500;0,173117
scalar;100000;2;500;0,901973
scalar;100000;3;500;0,663549
vector;100000;3;500;0,098664
vector;100000;4;500;0,240507
scalar;100000;4;500;0,679273
scalar;100000;5;500;0,501069
vector;100000;5;500;0,093481
vector;100000;6;500;0,257715
scalar;100000;6;500;0,758911
scalar;100000;7;500;0,704649
vector;100000;7;500;0,087606
vector;100000;8;500;0,090977
scalar;100000;8;500;0,636605
scalar;100000;9;500;0,765641
vector;100000;9;500;0,102236
vector;100000;10;500;0,220096
scalar;100000;10;500;0,724973
scalar;131072;1;381;1,052320
vector;131072;1;381;0,128504
vector;131072;2;381;0,221976
scalar;131072;2;381;1,054312
scalar;131072;3;381;0,860718
vector;131072;3;381;0,120806
vector;131072;4;381;0,337695
scalar;131072;4;381;0,910991
scalar;131072;5;381;0,901354
vector;131072;5;381;0,130056
vector;131072;6;381;0,360987
scalar;131072;6;381;0,906885
scalar;131072;7;381;0,615453
vector;131072;7;381;0,112912
vector;131072;8;381;0,128682
scalar;131072;8;381;1,140290
scalar;131072;9;381;0,658502
vector;131072;9;381;0,124585
vector;131072;10;381;0,297212
scalar;131072;10;381;1,071138
scalar;262144;1;190;2,141097
vector;262144;1;190;0,233110
vector;262144;2;190;0,616477
scalar;262144;2;190;1,790477
scalar;262144;3;190;1,770160
vector;262144;3;190;0,242202
